Year;Month;Day;Lat;Lon;Depth;Mag
1929;0;0;41,00;71,60;20;4,0
1929;0;0;43,20;67,10;20;6,6
1929;0;0;37,30;66,50;20;5,8
1929;0;0;42,90;66,80;20;5,2
1929;0;0;41,50;63,50;20;5,2
1929;0;0;43,20;66,80;20;5,3
1929;0;0;41,20;69,00;20;4,6
1929;0;0;39,90;70,40;20;4,8
1930;0;0;41,10;71,80;20;4,5
1930;0;0;40,20;69,69;20;5,1
1930;0;0;42,70;70,69;20;4,2
1930;0;0;42,30;69,69;20;3,0
1930;0;0;41,90;69,10;20;5,0
1931;0;0;39,70;69,60;20;4,5
1932;0;0;42,20;71,40;20;4,5
1932;0;0;40,90;72,19;20;4,7
1932;0;0;41,40;65,60;20;6,4
1933;0;0;42,90;56,50;20;4,5
1933;0;0;40,09;70,69;20;5,5
1933;0;0;42,00;72,00;20;4,7
1934;0;0;40,00;69,60;20;4,4
1935;0;0;39,80;67,50;20;5,3
1935;0;0;38,30;67,40;20;6,4
1935;0;0;39,50;73,50;20;5,8
1935;0;0;39,50;73,50;20;5,3
1936;0;0;39,59;73,10;20;5,2
1937;0;0;39,70;71,50;20;4,7
1937;0;0;41,00;72,60;20;4,5
1937;0;0;41,00;71,50;20;4,5
1937;0;0;42,80;72,69;20;4,3
1937;0;0;42,10;70,90;20;6,7
1938;0;0;41,30;69,30;20;3,5
1939;0;0;42,90;67,10;20;4,8
1939;0;0;39,50;67,69;20;4,1
1939;0;0;39,50;73,80;20;4,5
1940;0;0;39,59;69,50;20;4,9
1940;0;0;41,00;71,00;20;4,5
1940;0;0;39,59;73,50;20;4,5
1941;0;0;40,80;71,30;20;5,1
1942;0;0;41,10;71,60;20;6,0
1942;0;0;40,90;72,10;20;5,5
1944;0;0;39,70;73,10;20;6,1
1944;0;0;39,59;73,00;20;5,1
1944;0;0;39,59;73,00;20;5,4
1944;0;0;42,50;73,00;20;4,8
1946;0;0;41,90;72,00;20;7,9
1946;0;0;41,70;72,19;20;5,3
1946;0;0;41,90;72,00;20;5,2
1946;0;0;41,60;71,90;20;5,2
1946;0;0;42,00;72,00;20;5,8
1946;0;0;41,90;71,90;20;4,7
1946;0;0;42,00;72,10;20;4,7
1947;0;0;41,80;72,30;20;5,3
1947;0;0;42,00;72,40;20;4,7
1947;0;0;41,00;72,30;20;5,0
1947;0;0;40,90;72,30;20;6,0
1948;0;0;41,90;72,19;20;5,4
1948;0;0;41,70;72,19;20;4,5
1948;0;0;42,50;70,40;20;4,4
1948;0;0;39,20;68,10;20;5,4
1949;0;0;41,90;72,30;20;4,7
1949;0;0;42,00;72,69;20;5,0
1951;0;0;39,62;71,19;20;5,4
1951;0;0;39,59;73,69;20;4,7
1953;0;0;42,20;71,80;20;4,8
1953;0;0;42,70;69,90;20;4,5
1955;1;1;40,60;73,60;5;3,6
1955;1;2;41,60;73,10;5;3,9
1955;1;2;41,80;72,50;5;3,2
1955;1;3;39,57;71,24;5;2,6
1955;1;3;39,57;71,24;5;2,6
1955;1;4;39,75;71,00;5;3,2
1955;1;11;41,10;71,60;5;2,8
1955;1;11;40,10;69,50;5;3,7
1955;1;16;41,70;72,50;5;3,3
1955;1;23;40,90;73,30;5;3,1
1955;1;26;40,20;71,10;5;2,6
1955;1;27;39,55;71,24;5;3,9
1955;1;29;42,30;73,20;5;2,8
1955;2;2;41,30;71,70;5;3,2
1955;2;2;41,50;72,00;5;2,7
1955;2;9;40,52;73,37;5;4,2
1955;2;9;40,50;73,30;5;3,9
1955;2;12;40,07;69,29;5;4,1
1955;2;13;39,60;73,70;5;3,1
1955;2;14;40,10;70,50;5;2,8
1955;2;17;39,70;70,90;5;2,7
1955;2;20;39,70;71,60;5;3,1
1955;2;21;40,70;72,70;5;3,7
1955;2;22;40,80;73,30;5;4,1
1955;3;3;37,30;67,70;5;3,5
1955;3;5;39,40;66,50;5;3,1
1955;3;10;39,60;72,00;5;3,1
1955;3;18;40,10;70,30;5;2,9
1955;3;20;41,80;71,90;5;3,3
1955;3;23;39,68;71,47;10;2,7
1955;3;23;39,70;71,50;5;2,6
1955;3;26;39,90;66,18;5;4,1
1955;3;26;40,40;72,60;5;2,8
1955;3;28;40,20;72,10;5;2,8
1955;4;1;39,58;71,24;5;2,7
1955;4;1;37,50;67,60;5;2,6
1955;4;5;41,40;73,40;5;2,6
1955;4;6;41,00;74,00;5;3,4
1955;4;7;39,63;71,25;10;2,6
1955;4;7;41,60;71,60;5;3,7
1955;4;10;41,40;73,40;5;4,1
1955;4;13;39,80;73,90;5;3,1
1955;4;18;40,20;72,80;5;3,2
1955;4;26;40,20;71,80;5;3,2
1955;4;28;42,30;72,10;5;3,3
1955;4;30;39,70;67,90;5;2,9
1955;5;4;39,58;71,17;5;2,9
1955;5;4;39,57;71,25;5;3,1
1955;5;7;40,70;73,30;5;2,8
1955;5;8;39,57;71,25;5;2,6
1955;5;9;39,57;71,25;5;2,6
1955;5;10;40,80;72,40;5;3,7
1955;5;19;40,50;73,60;5;3,0
1955;5;20;40,50;73,60;5;3,9
1955;5;26;39,90;73,30;5;2,7
1955;5;27;39,60;67,90;5;2,6
1955;5;27;40,70;72,00;5;2,8
1955;6;3;40,00;69,00;5;3,1
1955;6;4;39,60;71,60;5;3,5
1955;6;4;40,80;73,40;5;3,6
1955;6;5;41,80;72,50;5;3,2
1955;6;5;42,20;71,00;5;3,8
1955;6;10;40,90;71,80;5;3,6
1955;6;18;40,30;72,30;5;3,0
1955;6;23;41,90;71,10;20;5,2
1955;6;25;39,70;70,83;5;2,6
1955;6;26;39,63;71,02;5;3,3
1955;6;27;39,91;69,18;5;3,7
1955;7;19;40,60;73,40;5;3,1
1955;7;19;39,70;68,00;14;5,3
1955;8;3;41,10;71,60;5;3,0
1955;8;6;42,00;65,00;30;4,9
1955;8;8;40,00;72,20;5;2,9
1955;8;10;41,80;71,20;5;3,6
1955;8;11;41,40;71,70;5;2,9
1955;8;17;40,30;73,50;5;3,1
1955;8;19;39,80;73,60;5;2,7
1955;8;24;42,00;72,40;5;3,2
1955;8;26;40,40;73,30;5;3,5
1955;8;27;39,53;71,22;5;2,6
1955;9;1;40,60;70,40;5;3,2
1955;9;2;40,60;72,70;5;3,1
1955;9;3;38,60;67,80;5;2,6
1955;9;8;41,60;72,10;5;2,8
1955;9;11;40,10;70,20;5;2,6
1955;9;16;40,60;73,60;5;3,1
1955;9;16;41,70;73,00;5;3,7
1955;9;19;41,30;72,40;5;2,9
1955;9;20;40,70;73,30;5;3,3
1955;9;20;39,60;74,00;5;3,0
1955;9;22;39,60;72,20;5;2,7
1955;9;29;38,50;67,80;5;2,7
1955;10;1;40,00;72,40;5;3,4
1955;10;2;40,60;73,00;5;2,9
1955;10;9;43,20;69,40;5;3,9
1955;10;9;40,30;73,60;5;2,8
1955;10;20;39,60;73,50;5;3,3
1955;10;21;39,70;71,50;5;2,6
1955;10;21;39,55;71,22;5;2,6
1955;10;25;40,10;73,30;5;2,9
1955;11;17;40,90;73,30;5;3,1
1955;11;25;39,50;67,70;5;3,8
1955;12;2;40,40;71,80;5;2,8
1955;12;3;38,90;68,00;5;2,7
1955;12;4;39,62;70,92;10;3,3
1956;1;1;38,70;67,80;5;3,6
1956;1;4;41,20;71,50;5;3,1
1956;1;12;39,60;74,00;5;2,9
1956;1;12;41,20;73,60;5;3,6
1956;1;17;40,60;73,80;5;3,5
1956;1;17;39,70;73,50;5;4,1
1956;1;19;41,60;71,50;5;3,0
1956;1;23;38,60;68,00;5;2,8
1956;1;24;39,20;66,60;5;2,8
1956;1;26;41,40;71,00;5;3,3
1956;2;14;39,80;72,20;5;3,0
1956;2;19;40,90;71,10;5;3,2
1956;2;21;41,30;73,40;5;3,9
1956;2;21;41,70;71,50;5;3,7
1956;2;21;39,80;74,00;5;3,1
1956;2;24;39,80;72,30;5;3,1
1956;2;28;39,80;72,30;5;4,0
1956;3;1;40,40;73,70;5;3,1
1956;3;23;41,20;72,50;5;3,1
1956;3;23;41,10;72,60;5;4,2
1956;3;24;41,10;72,50;5;2,8
1956;3;26;40,40;72,30;5;2,9
1956;3;29;41,00;72,00;5;3,4
1956;4;6;41,70;71,70;5;3,3
1956;4;9;40,90;73,60;5;3,3
1956;4;10;40,90;72,30;5;2,8
1956;4;21;40,80;72,20;5;3,4
1956;4;22;39,50;73,10;5;2,8
1956;4;29;41,90;71,80;5;3,6
1956;4;30;41,40;72,50;5;3,1
1956;4;30;40,20;73,20;5;2,8
1956;5;2;42,00;72,00;5;2,6
1956;5;7;41,90;72,20;5;4,3
1956;5;9;40,10;69,50;5;3,8
1956;5;14;41,70;71,30;5;3,6
1956;5;16;42,10;72,30;5;2,8
1956;5;20;39,60;72,50;5;3,3
1956;5;26;42,00;72,00;5;3,7
1956;5;30;40,00;67,50;5;3,1
1956;6;3;38,00;67,60;5;3,9
1956;6;3;37,80;67,40;5;3,4
1956;6;7;38,08;68,32;25;2,6
1956;6;14;41,00;72,50;5;3,1
1956;6;14;40,04;71,70;5;2,7
1956;6;16;39,60;72,90;5;2,9
1956;6;16;41,70;72,60;5;2,8
1956;6;26;41,10;74,00;5;2,8
1956;6;30;40,20;69,80;5;4,2
1956;7;8;41,00;72,70;5;2,8
1956;7;15;41,30;71,90;5;3,4
1956;8;2;40,70;71,80;5;3,7
1956;8;8;39,20;67,20;5;3,3
1956;8;9;39,40;68,00;5;4,5
1956;8;12;40,70;73,50;5;3,1
1956;8;21;39,50;73,00;5;2,8
1956;8;27;39,50;71,30;5;2,7
1956;9;4;40,80;73,50;5;3,1
1956;9;6;41,80;73,00;5;4,2
1956;9;8;40,30;72,00;5;2,8
1956;9;8;39,60;73,10;5;3,1
1956;9;10;37,10;67,70;5;4,1
1956;9;11;40,70;73,30;5;3,7
1956;9;11;39,50;72,00;5;2,7
1956;9;15;40,30;71,80;5;3,1
1956;9;20;41,60;73,20;5;3,2
1956;9;21;39,50;72,70;5;3,8
1956;9;21;39,97;71,23;5;2,6
1956;9;26;40,80;74,00;5;2,8
1956;9;29;40,10;71,80;5;2,8
1956;10;4;41,12;69,10;15;4,0
1956;10;4;39,90;71,90;5;2,8
1956;10;5;41,80;72,50;5;3,2
1956;10;15;41,20;73,10;5;3,1
1956;10;21;40,20;72,30;5;3,1
1956;10;22;39,60;70,65;10;3,0
1956;11;22;42,00;72,00;5;2,8
1956;11;24;40,40;69,90;5;3,3
1956;11;25;39,83;70,33;10;3,2
1956;11;27;39,60;71,80;5;2,7
1956;11;28;40,80;72,70;5;2,8
1956;12;9;39,80;70,80;5;2,7
1956;12;10;41,00;70,40;5;3,3
1956;12;11;41,20;71,60;5;3,3
1956;12;19;42,20;70,00;5;3,2
1956;12;20;41,60;71,50;5;3,2
1956;12;26;41,40;73,00;5;2,7
1956;12;26;41,70;71,40;5;3,4
1957;1;8;41,12;72,45;10;3,1
1957;1;30;39,87;71,78;5;3,6
1957;2;9;39,50;74,00;5;3,2
1957;2;10;39,67;70,47;20;3,4
1957;2;17;39,95;70,54;5;3,8
1957;2;18;39,57;71,10;5;2,6
1957;2;21;41,05;71,50;5;3,0
1957;3;4;40,57;72,22;30;4,6
1957;3;4;40,50;72,30;5;2,9
1957;3;11;39,94;70,37;5;3,5
1957;3;14;40,65;72,48;5;2,8
1957;3;19;41,00;73,33;15;3,8
1957;3;20;39,60;73,30;5;3,2
1957;3;21;42,01;71,25;15;3,3
1957;3;28;40,25;70,37;5;3,8
1957;3;31;39,53;71,28;10;3,1
1957;4;3;41,87;73,72;10;3,3
1957;4;5;39,62;69,77;10;2,6
1957;4;7;41,10;72,13;10;2,7
1957;4;7;39,68;70,78;5;2,6
1957;4;8;40,60;73,10;5;2,8
1957;4;11;41,54;73,15;5;3,9
1957;4;11;39,80;72,60;5;3,0
1957;4;12;39,50;73,90;5;2,9
1957;4;17;42,17;71,58;10;3,6
1957;4;20;39,67;70,82;5;2,6
1957;4;26;39,80;73,00;5;3,2
1957;4;30;41,60;73,00;15;3,2
1957;5;1;41,86;72,38;15;3,2
1957;5;1;41,92;72,30;15;3,9
1957;5;2;41,43;72,67;10;4,1
1957;5;2;41,63;72,68;15;3,1
1957;5;10;39,80;73,00;5;3,1
1957;5;12;39,54;72,00;5;3,8
1957;5;14;41,10;71,80;5;3,1
1957;5;18;41,50;71,50;5;2,8
1957;5;20;42,00;69,70;5;3,8
1957;5;22;39,57;71,22;5;3,3
1957;5;22;39,57;71,22;5;3,1
1957;5;22;40,05;71,92;5;2,7
1957;5;28;40,05;72,33;5;4,2
1957;5;29;40,10;72,40;5;3,4
1957;6;9;40,07;71,47;5;3,6
1957;6;11;39,20;67,80;5;4,0
1957;6;11;39,96;73,50;15;3,1
1957;6;17;42,05;72,10;10;2,8
1957;6;20;39,80;68,60;5;2,8
1957;6;21;42,43;71,65;15;3,3
1957;6;21;42,35;71,65;10;3,6
1957;6;25;39,60;67,40;5;3,5
1957;6;28;39,50;74,00;5;2,6
1957;6;28;39,50;72,50;5;3,7
1957;6;29;41,15;72,58;10;3,6
1957;7;4;40,90;69,00;5;2,8
1957;7;18;40,50;73,20;5;2,6
1957;7;19;40,70;72,50;5;2,6
1957;7;21;40,47;73,30;15;3,2
1957;7;22;40,62;73,27;25;4,0
1957;7;23;39,67;71,70;20;3,4
1957;7;23;39,80;71,75;5;3,3
1957;7;28;40,42;73,97;20;3,8
1957;8;1;40,60;72,00;5;3,4
1957;8;3;39,90;69,00;5;3,6
1957;8;4;41,00;73,45;5;3,1
1957;8;7;39,90;70,00;5;2,8
1957;8;8;39,50;71,20;5;2,9
1957;8;8;39,60;71,42;5;2,9
1957;8;15;41,00;73,90;5;2,8
1957;8;19;39,90;72,30;5;2,9
1957;8;25;41,22;73,43;20;3,9
1957;8;26;40,30;73,10;5;2,8
1957;8;27;38,98;68,48;20;2,7
1957;8;27;39,00;67,20;5;3,7
1957;8;30;40,50;72,70;5;2,6
1957;9;2;39,50;73,00;5;2,7
1957;9;2;40,33;71,27;20;4,4
1957;9;5;41,08;71,08;5;3,6
1957;9;7;38,83;68,17;10;3,1
1957;9;12;39,80;74,00;5;4,5
1957;9;16;38,57;68,42;20;3,8
1957;9;23;41,40;71,00;5;2,6
1957;9;28;40,10;72,00;5;2,9
1957;9;29;39,90;73,00;5;2,7
1957;10;4;40,20;72,00;5;2,2
1957;10;5;41,20;73,00;5;2,8
1957;10;6;41,75;72,08;5;3,2
1957;10;11;41,30;70,00;5;2,8
1957;10;11;40,50;69,00;5;3,1
1957;10;14;39,50;72,90;5;2,8
1957;10;22;39,50;73,50;5;2,9
1957;10;25;42,10;72,05;10;3,6
1957;10;26;39,62;70,96;10;3,1
1957;10;31;38,97;68,48;20;3,5
1957;11;1;40,79;73,30;10;3,0
1957;11;4;39,60;73,30;5;3,7
1957;11;4;40,37;73,25;10;2,7
1957;11;11;39,50;72,90;5;2,9
1957;11;16;41,67;72,50;5;3,6
1957;11;22;41,20;73,40;5;2,9
1957;11;28;41,15;73,17;5;3,2
1957;12;12;40,40;72,10;5;3,2
1957;12;16;40,65;73,10;15;4,1
1957;12;17;40,27;70,16;5;3,7
1957;12;18;41,73;72,87;10;3,1
1957;12;19;40,70;73,50;15;3,1
1957;12;23;40,38;73,20;30;3,2
1957;12;25;40,30;73,30;5;2,9
1957;12;29;39,53;71,12;5;3,4
1958;1;11;41,00;69,90;5;3,2
1958;1;13;39,50;71,80;20;5,0
1958;1;14;39,80;73,80;5;2,6
1958;1;14;41,79;72,93;15;2,8
1958;1;18;41,83;72,20;10;3,2
1958;1;19;41,00;73,33;15;3,3
1958;1;23;41,05;74,00;5;3,6
1958;1;23;41,33;73,20;5;2,6
1958;1;23;41,03;74,00;5;3,1
1958;1;23;39,50;73,90;5;3,4
1958;2;2;41,68;72,67;20;3,5
1958;3;5;42,35;71,30;20;3,5
1958;3;7;39,50;71,27;5;2,9
1958;3;9;39,60;74,00;5;3,4
1958;3;10;39,50;73,90;5;2,6
1958;3;19;41,00;71,45;15;2,6
1958;3;23;41,63;71,42;20;3,3
1958;3;23;41,00;72,25;5;3,6
1958;3;25;39,80;72,50;5;2,9
1958;3;28;41,09;74,00;5;3,7
1958;3;30;41,67;71,92;25;4,2
1958;4;1;42,20;74,00;5;3,1
1958;4;1;39,59;71,35;9;2,6
1958;4;1;40,12;73,08;15;2,9
1958;4;6;42,63;73,27;5;2,8
1958;4;12;39,89;72,17;25;4,2
1958;4;25;41,75;73,02;5;3,1
1958;4;25;39,70;73,40;5;3,3
1958;4;27;39,50;73,70;5;3,7
1958;4;29;41,90;72,29;10;3,8
1958;5;1;40,04;70,71;5;3,3
1958;5;1;39,50;73,70;5;2,6
1958;5;12;40,15;71,53;5;2,8
1958;5;15;39,60;70,30;5;2,9
1958;5;17;40,62;73,20;5;3,3
1958;5;17;41,80;72,82;10;2,8
1958;5;23;39,50;71,33;5;3,0
1958;6;9;39,50;73,30;5;3,4
1958;6;13;41,65;73,15;20;2,8
1958;6;16;38,20;67,50;5;2,6
1958;6;16;38,30;67,50;5;3,1
1958;6;17;41,60;73,10;5;3,6
1958;6;24;40,16;71,98;5;3,2
1958;6;25;39,60;71,60;5;2,9
1958;6;27;41,22;71,58;25;4,2
1958;6;30;39,52;71,18;9;2,7
1958;7;5;41,45;71,82;5;2,9
1958;7;7;40,70;73,30;5;2,8
1958;7;7;39,60;73,70;5;2,7
1958;7;7;42,32;71,37;10;3,5
1958;7;12;41,07;72,72;15;4,2
1958;7;12;41,07;72,72;10;3,5
1958;7;29;39,80;70,40;5;2,7
1958;7;30;39,50;73,40;5;2,6
1958;7;30;39,55;71,22;8;2,7
1958;7;31;39,82;73,33;5;3,5
1958;8;7;40,12;73,33;5;2,9
1958;8;10;39,50;72,80;5;2,8
1958;8;10;38,12;67,95;15;3,6
1958;8;13;37,20;66,50;5;5,3
1958;8;16;40,50;72,59;5;2,9
1958;8;18;41,67;71,80;5;3,1
1958;8;21;41,90;72,11;5;2,8
1958;8;21;40,62;72,40;25;2,8
1958;8;22;40,42;71,50;5;2,4
1958;8;22;40,43;71,53;5;2,6
1958;8;22;40,20;71,50;5;2,6
1958;8;22;40,48;71,57;15;2,7
1958;8;23;41,30;70,20;5;2,5
1958;8;23;40,40;71,50;10;4,1
1958;8;23;40,50;71,50;5;2,8
1958;8;24;40,43;71,52;15;2,6
1958;8;24;40,47;71,58;15;4,4
1958;8;25;40,77;73,17;10;3,5
1958;9;1;41,38;72,25;10;3,5
1958;9;4;40,34;71,92;10;3,1
1958;9;8;42,15;71,83;5;3,8
1958;9;13;41,23;72,20;10;2,8
1958;9;15;39,80;73,60;5;2,8
1958;9;16;40,45;73,25;20;2,6
1958;9;16;40,57;73,30;10;2,9
1958;9;19;40,50;73,27;5;2,9
1958;9;21;40,10;72,10;5;2,6
1958;9;22;40,58;72,32;30;2,9
1958;9;22;39,55;71,03;8;2,7
1958;9;23;39,50;73,30;5;2,6
1958;9;25;41,00;70,00;5;3,1
1958;9;25;40,25;72,35;35;2,6
1958;9;25;40,10;72,98;15;3,2
1958;9;26;40,68;72,43;15;4,1
1958;9;29;39,60;72,80;5;2,7
1958;9;29;42,60;69,80;5;3,2
1958;9;29;39,70;67,90;5;2,6
1958;10;7;40,40;71,50;5;2,7
1958;10;9;38,63;68,40;15;2,8
1958;10;11;40,00;68,20;5;3,3
1958;10;17;40,80;70,50;5;3,3
1958;10;19;40,70;70,40;5;3,3
1958;10;22;40,20;70,20;5;3,6
1958;10;25;41,62;73,28;30;3,1
1958;11;1;41,10;71,27;20;3,1
1958;11;6;41,20;70,30;5;2,3
1958;11;6;38,27;68,32;15;3,1
1958;11;10;39,57;71,23;8;2,4
1958;11;10;39,70;72,50;5;3,4
1958;11;11;40,60;73,67;10;3,1
1958;11;24;39,72;69,80;5;3,2
1958;11;25;41,63;74,00;5;2,8
1958;11;26;41,63;71,28;15;4,3
1958;11;26;41,64;71,21;15;4,1
1958;11;27;40,40;69,00;5;3,4
1958;12;4;41,25;73,75;5;3,1
1958;12;14;39,50;73,80;5;2,7
1958;12;15;39,50;72,89;5;2,8
1958;12;16;39,95;71,50;5;3,6
1958;12;17;40,97;73,47;10;2,8
1958;12;17;39,78;72,75;5;2,8
1958;12;29;39,53;71,22;13;2,8
1958;12;29;39,84;70,70;7;2,9
1958;12;29;39,80;72,60;5;2,7
1959;1;1;42,05;72,20;15;3,2
1959;1;3;39,63;73,73;20;2,7
1959;1;7;37,40;67,90;5;3,6
1959;1;8;41,08;71,42;5;3,1
1959;1;9;40,60;73,10;15;3,0
1959;1;12;40,80;72,45;15;3,3
1959;1;14;42,50;73,50;5;3,4
1959;1;15;39,90;70,20;5;2,6
1959;1;16;40,04;71,37;15;2,8
1959;1;22;39,90;69,80;5;3,1
1959;1;22;41,00;72,40;5;2,6
1959;1;23;40,82;72,35;5;2,9
1959;1;23;40,29;70,42;5;4,0
1959;1;24;41,83;72,20;10;4,1
1959;1;26;40,50;70,20;5;3,0
1959;1;27;40,77;73,20;10;3,1
1959;2;1;39,90;70,30;5;2,9
1959;2;1;39,50;68,90;5;2,6
1959;2;1;38,95;68,42;15;2,6
1959;2;3;41,07;73,87;25;2,9
1959;2;9;41,13;72,73;25;3,2
1959;2;11;41,21;72,65;20;3,2
1959;2;15;39,90;72,20;5;2,8
1959;2;17;40,30;68,70;5;3,5
1959;2;20;41,83;72,17;5;4,1
1959;2;21;41,38;72,73;10;2,8
1959;2;21;40,90;71,30;5;2,9
1959;2;22;42,30;73,87;15;3,2
1959;2;23;39,50;71,06;5;2,6
1959;2;24;39,72;70,22;10;2,9
1959;2;27;39,58;71,17;6;2,6
1959;3;9;40,90;60,20;42;2,6
1959;3;10;40,95;73,73;10;3,7
1959;3;10;40,93;73,73;35;4,1
1959;3;10;40,93;73,93;15;3,3
1959;3;14;39,50;73,00;5;2,8
1959;3;22;41,37;72,72;15;3,5
1959;3;22;41,36;72,68;5;3,8
1959;3;24;41,25;71,48;20;3,2
1959;3;24;39,60;72,60;5;2,6
1959;4;1;42,30;74,00;5;3,2
1959;4;11;40,24;71,62;5;2,9
1959;4;12;40,55;72,10;5;2,4
1959;4;14;39,50;67,80;5;2,7
1959;4;18;41,30;71,22;20;2,8
1959;4;22;39,73;72,10;5;3,4
1959;4;24;39,70;72,20;5;2,8
1959;5;5;37,50;68,50;5;3,2
1959;5;11;39,25;68,30;5;2,7
1959;5;12;39,57;71,28;10;3,1
1959;5;12;40,57;72,23;15;3,3
1959;5;13;40,42;72,42;10;2,9
1959;5;17;40,01;71,57;10;2,7
1959;5;19;39,57;71,29;7;2,9
1959;5;19;41,95;72,05;15;3,6
1959;5;26;40,00;73,20;5;2,6
1959;5;30;38,62;68,05;15;2,8
1959;6;5;39,60;71,70;5;3,1
1959;6;5;40,90;73,90;10;3,3
1959;6;7;41,13;70,20;5;3,9
1959;6;20;41,43;72,05;10;2,8
1959;6;20;40,85;72,15;20;3,3
1959;6;21;41,15;72,30;10;3,0
1959;6;27;39,60;71,90;5;2,7
1959;7;1;40,10;72,30;5;2,6
1959;7;10;41,05;73,50;15;4,6
1959;7;12;41,72;72,80;14;4,9
1959;7;14;39,90;70,10;5;2,6
1959;7;21;40,40;67,90;8;4,0
1959;7;25;40,08;70,75;5;3,7
1959;8;2;40,70;73,40;5;2,8
1959;8;8;40,75;73,17;5;2,8
1959;8;9;39,50;73,20;5;2,9
1959;8;13;40,68;73,27;5;3,2
1959;8;23;41,83;72,47;5;3,3
1959;9;2;40,80;73,00;5;2,6
1959;9;3;38,10;67,20;5;3,3
1959;9;3;40,28;72,62;5;3,2
1959;9;10;40,02;70,98;5;2,8
1959;9;13;40,65;73,65;15;3,5
1959;9;17;39,82;72,85;5;3,2
1959;9;27;39,60;73,90;5;3,0
1959;10;4;41,63;72,55;20;2,9
1959;10;18;39,60;74,00;5;2,9
1959;10;18;40,30;69,10;5;3,2
1959;10;24;40,50;73,20;5;3,0
1959;10;24;41,67;70,00;13;5,6
1959;10;25;41,68;70,12;5;4,3
1959;10;25;41,50;69,60;5;2,8
1959;10;25;41,78;70,03;5;2,6
1959;10;25;41,80;70,00;5;3,3
1959;10;25;41,72;70,03;5;3,4
1959;10;26;41,63;70,03;5;2,9
